Artist,Popularity
Lady Gaga,90
Charli xcx,86
Britney Spears,85
Ariana Grande,97
Taylor Swift,98
Chappell Roan,81
Madonna,86
Rihanna,94
girl in red,74
Billie Eilish,91
Beyoncé,88
Mitski,81
Charity Gayle,64
Sabrina Carpenter,90
"Tyler, The Creator",86
Doja Cat,87
Kim Petras,73
DigBar,58
Slayyyter,75
Reneé Rapp,68
Katy Perry,89
Ayesha Erotica,71
Dua Lipa,89
Cavetown,68
Whitney Houston,79
Troye Sivan,75
Kylie Minogue,75
Kesha,82
Mindless Self Indulgence,71
Penelope Scott,63
Mad Tsai,60
Nicki Minaj,88
TV Girl,83
Hozier,83
Gloria Gaynor,67
Gorillaz,84
Olivia Rodrigo,95
Stray Kids,87
Conan Gray,79
Fall Out Boy,81
Clairo,80
Playboi Carti,87
Zara Larsson,86
Lana Del Rey,91
Mariah Carey,81
The Weeknd,96
Lil Uzi Vert,86
Kanye West,93
Phoebe Bridgers,78
MARINA,74
SYLX,26
Drake,100
Mother Mother,71
Donna Summer,67
David Guetta,91
RuPaul,56
The Neighbourhood,86
ABBA,84
Megan Thee Stallion,81
Azealia Banks,62
Doechii,78
Travis Scott,91
Miley Cyrus,84
The Pussycat Dolls,73
Frank Ocean,86
Dixon Dallas,47
Radiohead,86
Childish Gambino,82
Kendrick Lamar,90
SZA,89
McCafferty,63
Queen,86
Melanie Martinez,81
Ricky Montgomery,69
Laufey,83
Cher,52
Shashwat Sachdev,81
Udit Narayan,84
Calvin Harris,89
Tove Lo,77
Chase Icon,55
Jennifer Lopez,82
Arctic Monkeys,87
Cobrah,59
SOPHIE,59
Alex G,76
YoungBoy Never Broke Again,86
$uicideboy$,84
Badshah,77
Pierce The Veil,78
Christina Aguilera,80
Pritam,90
Addison Rae,75
Lucy Dacus,67
Bruno Mars,95
Paramore,83
The Marías,83
Tate McRae,87
Shygirl,56
Mac DeMarco,82
Arijit Singh,92
My Chemical Romance,82
PinkPantheress,83
Sam Smith,83
Panic! At The Disco,80
FLETCHER,62
Will Wood,62
AJR,72
Slipknot,81
Gwen Stefani,77
Demi Lovato,80
MUNA,61
Odetari,76
Marvin Gaye,77
Robyn,73
Rina Sawayama,56
KATSEYE,87
Alka Yagnik,85
Deftones,84
Nelly Furtado,80
Gigi Perez,78
cupcakKe,61
Diana Ross,68
Lil Peep,84
JAŸ-Z,86
Kusorare,35
Offer Nissim,50
Kali Uchis,85
Ethel Cain,71
Weezer,79
Fergie,73
Jack Stauber's Micropop,67
Ashnikko,70
Juice WRLD,87
Bebe Rexha,82
boygenius,64
